Game,Release Data,Total Earnings,Online Earnings,Total Players,Total Tournaments,Genre
Age of Empires,1997,191181.81,156839.89,261,99,Strategy
Age of Empires II,1999,2296502.8,720999.87,1528,1140,Strategy
Age of Empires III,2005,93913.65,41800,139,120,Strategy
Age of Empires IV,2021,151091.75,217,248,79,Strategy
Age of Empires Online,2011,5356.56,775,25,17,Strategy
Age of Mythology,2002,100701,52000,129,122,Strategy
Among Us,2018,86000,0,14,8,Strategy
Auto Chess,2019,1144920.28,1037222.28,124,39,Strategy
Brawl Stars,2018,2557950,1336250,215,31,Strategy
Chess.com,2007,1975964.33,0,782,286,Strategy
chess24,2014,2705625.43,0,80,19,Strategy
Clash of Clans,2012,2720852.87,1127101.87,191,40,Strategy
Clash Royale,2016,3363348.27,3149638.98,290,51,Strategy
Command & Conquer 3,2007,53086.67,53086.67,9,8,Strategy
Company of Heroes 2,2013,8561.22,7956.22,11,6,Strategy
ComPet,2016,2000,0,50,1,Strategy
Dead By Daylight,2016,60000,0,35,9,Strategy
Dota Underlords,2019,26024.18,0,62,36,Strategy
Endgods,2015,0,0,0,0,Strategy
Farming Simulator 19,2018,386311.88,119445.81,104,19,Strategy
Grey Goo,2015,36400,30400,18,5,Strategy
Heroes of Might and Magic III,1999,0,0,0,0,Strategy
Identity V,2018,31911.1,31911.1,6,1,Strategy
Internet Chess Club,1995,10000,0,6,1,Strategy
Iron Harvest,2020,0,0,0,0,Strategy
Legion TD 2,2021,0,0,0,0,Strategy
Lichess,2010,1264077.78,0,336,140,Strategy
Men of War: Assault Squad 2,2014,0,0,0,0,Strategy
Multigaming,2000,444857.33,444857.33,30,7,Strategy
Playchess.com,2002,32866.58,0,116,9,Strategy
Pok<U+00E9>mon VGC,2017,211602,211500,173,25,Strategy
Prophecy,2020,13000,0,27,4,Strategy
Rise of Nations: Rise of Legends,2006,69600,69600,8,1,Strategy
Sea of Thieves,2016,1E+05,0,67,4,Strategy
Star Wars: Squadrons,2020,800,0,4,1,Strategy
StarCraft II,2010,36249504.04,29428638.63,2115,6283,Strategy
StarCraft: Brood War,1998,8627165.61,8176519.32,686,690,Strategy
Super Mario Party,2018,220,220,4,1,Strategy
Supreme Commander,2007,4901.26,4901.26,0,1,Strategy
Supreme Commander: Forged Alliance,2007,1290.01,1290.01,0,1,Strategy
Teamfight Tactics,2019,1069313.65,235250,181,16,Strategy
TEPPEN,2019,456721.47,456721.47,12,1,Strategy
The Binding of Isaac,2011,15000,0,16,1,Strategy
UNO,2016,30000,0,28,3,Strategy
WarCraft III,2002,5811479.73,5038870.86,558,1335,Strategy
WarCraft III: Reforged,2020,1053536.12,425883.84,103,192,Strategy
"Warhammer 40,000: Dawn of War",2005,79816.5,79816.5,7,3,Strategy
"Warhammer 40,000: Dawn of War II",2009,0,0,0,0,Strategy
Warparty,2019,1175,0,6,2,Strategy
Windjammers,1994,5401.47,4912.16,35,15,Strategy
World in Conflict,2007,293338.23,293338.23,38,11,Strategy
World of Tanks,2010,3671496.59,3598031.72,404,51,Strategy
World of Tanks Blitz,2016,63330,60000,14,6,Strategy
Aim Gods,2020,250000,0,2,1,First-Person Shooter
Aliens versus Predator 2,2001,40000,40000,1,1,First-Person Shooter
Alliance of Valiant Arms,2009,0,0,0,0,First-Person Shooter
Battalion 1944,2018,202654.67,129863.88,121,28,First-Person Shooter
Battlefield 1,2016,0,0,0,0,First-Person Shooter
Battlefield 2,2005,91715.22,91715.22,0,12,First-Person Shooter
Battlefield 2142,2006,18546.14,18546.14,0,4,First-Person Shooter
Battlefield 3,2011,25407.46,25407.46,5,7,First-Person Shooter
Battlefield 4,2013,245766.46,212540.31,204,145,First-Person Shooter
Battlefield Hardline,2015,13463.28,13463.28,20,1,First-Person Shooter
Battlefield V,2018,0,0,0,0,First-Person Shooter
Beat Aim,2019,430,0,12,6,First-Person Shooter
Big Buck Hunter Arcade,2016,76200,76200,3,1,First-Person Shooter
Black Squad,2017,8480.72,0,57,17,First-Person Shooter
Blaston,2020,2428.12,0,12,6,First-Person Shooter
Borderlands 3,2019,50000,0,16,1,First-Person Shooter
Call of Duty,2003,50629.77,50629.77,51,3,First-Person Shooter
Call of Duty 2,2005,66828.51,60874.71,41,17,First-Person Shooter
Call of Duty 4: Modern Warfare,2007,420331.47,387929.31,422,86,First-Person Shooter
Call of Duty: Advanced Warfare,2014,2611808.93,2267636.14,783,405,First-Person Shooter
Call of Duty: Black Ops,2010,375793.48,346969.18,118,23,First-Person Shooter
Call of Duty: Black Ops 2,2012,1479139.25,1430071.63,187,54,First-Person Shooter
Call of Duty: Black Ops 4,2018,6731938.95,6636161.95,379,68,First-Person Shooter
Call of Duty: Black Ops Cold War,2020,6035000,3500000,243,61,First-Person Shooter
Call of Duty: Black Ops III,2015,3939783.29,3783077.02,419,78,First-Person Shooter
Call of Duty: Blackout,2018,611608.35,321008.35,175,18,First-Person Shooter
Call of Duty: Ghosts,2013,1594185.25,1504472.89,199,76,First-Person Shooter
Call of Duty: Infinite Warfare,2016,4156205.06,4049855.06,341,80,First-Person Shooter
Call of Duty: Mobile,2019,3057280,935280,185,6,First-Person Shooter
Call of Duty: Modern Warfare,2019,7500784.5,678562.5,382,81,First-Person Shooter
Call of Duty: Modern Warfare 2,2009,117360.64,51010.64,65,20,First-Person Shooter
Call of Duty: Modern Warfare 3,2011,1160815.66,1144955.66,209,45,First-Person Shooter
Call of Duty: Vanguard,2021,626500,0,128,16,First-Person Shooter
Call of Duty: Warzone,2020,8996609.13,1E+05,1125,298,First-Person Shooter
Call of Duty: World War II,2017,4560271,4498605,270,65,First-Person Shooter
Chex Quest,1996,100,0,2,1,First-Person Shooter
Counter-Strike,2000,13553955.46,12840725.72,4225,1017,First-Person Shooter
Counter-Strike Online,2016,406989.6,406989.6,70,12,First-Person Shooter
Counter-Strike: Condition Zero,2004,162150.6,162150.6,111,3,First-Person Shooter
Counter-Strike: Global Offensive,2012,129352068.91,83502772.76,14708,6081,First-Person Shooter
Counter-Strike: Source,2004,3117222.29,2876766.03,1502,333,First-Person Shooter
Critical Ops,2015,12606.41,2500,4,3,First-Person Shooter
CrossFire,2007,6609445.02,5876309.23,643,310,First-Person Shooter
Crysis,2007,11340.95,11340.95,0,2,First-Person Shooter
Day of Defeat,2003,51180.41,51180.41,43,4,First-Person Shooter
Day of Defeat: Source,2005,14068.57,10286.47,50,8,First-Person Shooter
Descent 3,1999,50000,50000,1,1,First-Person Shooter
Diabotical,2020,197816.77,21004.36,340,231,First-Person Shooter
Doom (2016),2016,7000,7000,6,1,First-Person Shooter
Doom 3,2004,257748.16,257748.16,14,4,First-Person Shooter
Doom II: Hell on Earth,1994,5108.56,2200,14,8,First-Person Shooter
DOOMBRINGER,2017,567.77,0,8,4,First-Person Shooter
Echo Arena,2017,0,0,0,0,First-Person Shooter
Enemy Territory: Quake Wars,2007,60923.12,60923.12,27,4,First-Person Shooter
Escape from Tarkov,2020,114600,0,150,4,First-Person Shooter
Evolve,2015,131509.05,126054.1,110,33,First-Person Shooter
F.E.A.R.,2005,178000,178000,20,5,First-Person Shooter
Ghost Recon Advanced Warfighter,2006,24000,24000,0,2,First-Person Shooter
Gundam Versus,2017,280,280,6,1,First-Person Shooter
Guns of Boom,2017,198750,190000,8,21,First-Person Shooter
Halo 2,2004,1626762.47,1489362.47,126,74,First-Person Shooter
Halo 2 Anniversary,2014,468705.05,468705.05,97,20,First-Person Shooter
Halo 3,2007,2318079.4,2161479.4,214,43,First-Person Shooter
Halo 4,2012,430748.76,428498.76,66,19,First-Person Shooter
Halo 5: Guardians,2015,7105480.97,6782680.97,239,77,First-Person Shooter
Halo: Combat Evolved,2001,299281,299281,118,39,First-Person Shooter
Halo: Infinite,2020,101000,0,50,10,First-Person Shooter
Halo: Reach,2010,772089.97,712089.97,121,29,First-Person Shooter
Ironsight,2018,0,0,0,0,First-Person Shooter
Islands of Nyne,2017,0,0,0,0,First-Person Shooter
Lemnis Gate,2021,572.86,0,5,4,First-Person Shooter
MechWarrior Online,2013,143490,143490,0,1,First-Person Shooter
Metal Gear Online,2008,8000,0,37,8,First-Person Shooter
osu!,2007,110396.8,539.59,1366,52,First-Person Shooter
Overwatch,2016,32213162.28,18615744.45,3617,765,First-Person Shooter
Painkiller,2004,1015000,1015000,48,13,First-Person Shooter
Paladins,2015,2360057.6,1659000,599,78,First-Person Shooter
Point Blank,2008,699167.75,589898.15,297,32,First-Person Shooter
Quake 4,2005,557039.27,554788.51,103,54,First-Person Shooter
Quake Champions,2017,2760795.7,2120633.6,269,249,First-Person Shooter
Quake II,1997,140425.98,139800,34,12,First-Person Shooter
Quake III Arena,1999,1146574.64,1131262.61,279,107,First-Person Shooter
Quake Live,2010,683479.12,599972.93,220,412,First-Person Shooter
QuakeWorld,1996,103551.67,98005.44,49,17,First-Person Shooter
Rage,2011,5000,5000,3,1,First-Person Shooter
Rainbow Six Siege,2015,20584184.83,15266547.64,2162,352,First-Person Shooter
Rainbow Six: Vegas,2006,176400.77,176400.77,137,7,First-Person Shooter
Rainbow Six: Vegas 2,2008,79000,79000,0,8,First-Person Shooter
Realm Royale,2018,263000,0,47,9,First-Person Shooter
Reflex,2015,2458.37,163.66,24,9,First-Person Shooter
Resistance 2,2008,50400,0,194,1,First-Person Shooter
Resistance 2,2008,0,0,0,0,First-Person Shooter
Return to Castle Wolfenstein,2001,67424.3,67424.3,30,3,First-Person Shooter
S.K.I.L.L. - Special Force 2,2013,132532.93,116555.81,82,21,First-Person Shooter
