Game,'Release Data','Total Earnings','Online Earnings','Total Players','Total Tournaments',Genre
'Age of Empires',1997,191181.81,156839.89,261,99,Strategy
'Age of Empires II',1999,2296502.8,720999.87,1528,1140,Strategy
'Age of Empires III',2005,93913.65,41800,139,120,Strategy
'Age of Empires IV',2021,151091.75,217,248,79,Strategy
'Age of Empires Online',2011,5356.56,775,25,17,Strategy
'Age of Mythology',2002,100701,52000,129,122,Strategy
'Auto Chess',2019,1144920.28,1037222.28,124,39,Strategy
'Brawl Stars',2018,2557950,1336250,215,31,Strategy
'Clash of Clans',2012,2720852.87,1127101.87,191,40,Strategy
'Clash Royale',2016,3363348.27,3149638.98,290,51,Strategy
'Command & Conquer 3',2007,53086.67,53086.67,9,8,Strategy
'Company of Heroes 2',2013,8561.22,7956.22,11,6,Strategy
'Farming Simulator 19',2018,386311.88,119445.81,104,19,Strategy
'Grey Goo',2015,36400,30400,18,5,Strategy
'Identity V',2018,31911.1,31911.1,6,1,Strategy
Multigaming,2000,444857.33,444857.33,30,7,Strategy
'Pok<U+00E9>mon VGC',2017,211602,211500,173,25,Strategy
'Rise of Nations: Rise of Legends',2006,69600,69600,8,1,Strategy
'StarCraft II',2010,36249504.04,29428638.63,2115,6283,Strategy
'StarCraft: Brood War',1998,8627165.61,8176519.32,686,690,Strategy
'Super Mario Party',2018,220,220,4,1,Strategy
'Teamfight Tactics',2019,1069313.65,235250,181,16,Strategy
TEPPEN,2019,456721.47,456721.47,12,1,Strategy
'WarCraft III',2002,5811479.73,5038870.86,558,1335,Strategy
'WarCraft III: Reforged',2020,1053536.12,425883.84,103,192,Strategy
'Warhammer 40,000: Dawn of War',2005,79816.5,79816.5,7,3,Strategy
Windjammers,1994,5401.47,4912.16,35,15,Strategy
'World in Conflict',2007,293338.23,293338.23,38,11,Strategy
'World of Tanks',2010,3671496.59,3598031.72,404,51,Strategy
'World of Tanks Blitz',2016,63330,60000,14,6,Strategy
'Aliens versus Predator 2',2001,40000,40000,1,1,'First-Person Shooter'
'Battalion 1944',2018,202654.67,129863.88,121,28,'First-Person Shooter'
'Battlefield 3',2011,25407.46,25407.46,5,7,'First-Person Shooter'
'Battlefield 4',2013,245766.46,212540.31,204,145,'First-Person Shooter'
'Battlefield Hardline',2015,13463.28,13463.28,20,1,'First-Person Shooter'
'Big Buck Hunter Arcade',2016,76200,76200,3,1,'First-Person Shooter'
'Call of Duty',2003,50629.77,50629.77,51,3,'First-Person Shooter'
'Call of Duty 2',2005,66828.51,60874.71,41,17,'First-Person Shooter'
'Call of Duty 4: Modern Warfare',2007,420331.47,387929.31,422,86,'First-Person Shooter'
'Call of Duty: Advanced Warfare',2014,2611808.93,2267636.14,783,405,'First-Person Shooter'
'Call of Duty: Black Ops',2010,375793.48,346969.18,118,23,'First-Person Shooter'
'Call of Duty: Black Ops 2',2012,1479139.25,1430071.63,187,54,'First-Person Shooter'
'Call of Duty: Black Ops 4',2018,6731938.95,6636161.95,379,68,'First-Person Shooter'
'Call of Duty: Black Ops Cold War',2020,6035000,3500000,243,61,'First-Person Shooter'
'Call of Duty: Black Ops III',2015,3939783.29,3783077.02,419,78,'First-Person Shooter'
'Call of Duty: Blackout',2018,611608.35,321008.35,175,18,'First-Person Shooter'
'Call of Duty: Ghosts',2013,1594185.25,1504472.89,199,76,'First-Person Shooter'
'Call of Duty: Infinite Warfare',2016,4156205.06,4049855.06,341,80,'First-Person Shooter'
'Call of Duty: Mobile',2019,3057280,935280,185,6,'First-Person Shooter'
'Call of Duty: Modern Warfare',2019,7500784.5,678562.5,382,81,'First-Person Shooter'
'Call of Duty: Modern Warfare 2',2009,117360.64,51010.64,65,20,'First-Person Shooter'
'Call of Duty: Modern Warfare 3',2011,1160815.66,1144955.66,209,45,'First-Person Shooter'
'Call of Duty: Warzone',2020,8996609.13,100000,1125,298,'First-Person Shooter'
'Call of Duty: World War II',2017,4560271,4498605,270,65,'First-Person Shooter'
Counter-Strike,2000,13553955.46,12840725.72,4225,1017,'First-Person Shooter'
'Counter-Strike Online',2016,406989.6,406989.6,70,12,'First-Person Shooter'
'Counter-Strike: Condition Zero',2004,162150.6,162150.6,111,3,'First-Person Shooter'
'Counter-Strike: Global Offensive',2012,129352068.91,83502772.76,14708,6081,'First-Person Shooter'
'Counter-Strike: Source',2004,3117222.29,2876766.03,1502,333,'First-Person Shooter'
'Critical Ops',2015,12606.41,2500,4,3,'First-Person Shooter'
CrossFire,2007,6609445.02,5876309.23,643,310,'First-Person Shooter'
'Day of Defeat',2003,51180.41,51180.41,43,4,'First-Person Shooter'
'Day of Defeat: Source',2005,14068.57,10286.47,50,8,'First-Person Shooter'
'Descent 3',1999,50000,50000,1,1,'First-Person Shooter'
Diabotical,2020,197816.77,21004.36,340,231,'First-Person Shooter'
'Doom (2016)',2016,7000,7000,6,1,'First-Person Shooter'
'Doom 3',2004,257748.16,257748.16,14,4,'First-Person Shooter'
'Doom II: Hell on Earth',1994,5108.56,2200,14,8,'First-Person Shooter'
'Enemy Territory: Quake Wars',2007,60923.12,60923.12,27,4,'First-Person Shooter'
Evolve,2015,131509.05,126054.1,110,33,'First-Person Shooter'
F.E.A.R.,2005,178000,178000,20,5,'First-Person Shooter'
'Gundam Versus',2017,280,280,6,1,'First-Person Shooter'
'Guns of Boom',2017,198750,190000,8,21,'First-Person Shooter'
'Halo 2',2004,1626762.47,1489362.47,126,74,'First-Person Shooter'
'Halo 2 Anniversary',2014,468705.05,468705.05,97,20,'First-Person Shooter'
'Halo 3',2007,2318079.4,2161479.4,214,43,'First-Person Shooter'
'Halo 4',2012,430748.76,428498.76,66,19,'First-Person Shooter'
'Halo 5: Guardians',2015,7105480.97,6782680.97,239,77,'First-Person Shooter'
'Halo: Combat Evolved',2001,299281,299281,118,39,'First-Person Shooter'
'Halo: Reach',2010,772089.97,712089.97,121,29,'First-Person Shooter'
osu!,2007,110396.8,539.59,1366,52,'First-Person Shooter'
Overwatch,2016,32213162.28,18615744.45,3617,765,'First-Person Shooter'
Painkiller,2004,1015000,1015000,48,13,'First-Person Shooter'
Paladins,2015,2360057.6,1659000,599,78,'First-Person Shooter'
'Point Blank',2008,699167.75,589898.15,297,32,'First-Person Shooter'
'Quake 4',2005,557039.27,554788.51,103,54,'First-Person Shooter'
'Quake Champions',2017,2760795.7,2120633.6,269,249,'First-Person Shooter'
'Quake II',1997,140425.98,139800,34,12,'First-Person Shooter'
'Quake III Arena',1999,1146574.64,1131262.61,279,107,'First-Person Shooter'
'Quake Live',2010,683479.12,599972.93,220,412,'First-Person Shooter'
QuakeWorld,1996,103551.67,98005.44,49,17,'First-Person Shooter'
Rage,2011,5000,5000,3,1,'First-Person Shooter'
'Rainbow Six Siege',2015,20584184.83,15266547.64,2162,352,'First-Person Shooter'
'Rainbow Six: Vegas',2006,176400.77,176400.77,137,7,'First-Person Shooter'
Reflex,2015,2458.37,163.66,24,9,'First-Person Shooter'
'Return to Castle Wolfenstein',2001,67424.3,67424.3,30,3,'First-Person Shooter'
'S.K.I.L.L. - Special Force 2',2013,132532.93,116555.81,82,21,'First-Person Shooter'
'ShootMania Storm',2013,262090.69,258286.5,108,43,'First-Person Shooter'
'Splatoon 2',2017,10055,9755,13,7,'First-Person Shooter'
'Team Fortress 2',2007,718078.81,393807.2,1364,197,'First-Person Shooter'
'Redacted Name',2016,46235.07,46235.07,5,1,'First-Person Shooter'
'Unreal Tournament',1999,89000,89000,14,5,'First-Person Shooter'
'Unreal Tournament 2003',2002,147473.91,147473.91,33,14,'First-Person Shooter'
'Unreal Tournament 2004',2004,133969.33,133969.33,41,12,'First-Person Shooter'
'Unreal Tournament 3',2007,104977.82,104977.82,7,4,'First-Person Shooter'
VALORANT,2020,8859667.5,2714104.88,3614,632,'First-Person Shooter'
Warface,2013,109555,109555,32,2,'First-Person Shooter'
'Wolfenstein: Enemy Territory',2003,140963.24,138376.87,152,18,'First-Person Shooter'
Xonotic,2010,14405.01,26.07,146,42,'First-Person Shooter'
Zula,2015,100000,100000,20,1,'First-Person Shooter'
'Arena of Valor',2015,41290753.03,37745368.92,812,73,'Multiplayer Online Battle Arena'
Battlerite,2016,65173.45,28000,86,75,'Multiplayer Online Battle Arena'
'Bloodline Champions',2011,41905.32,40850,43,12,'Multiplayer Online Battle Arena'
'Crab Game',2021,45950,44000,32,11,'Multiplayer Online Battle Arena'
'Defense of the Ancients',2003,857420.65,829658.68,468,94,'Multiplayer Online Battle Arena'
'Dota 2',2013,279153000.65,255582820.83,4180,1590,'Multiplayer Online Battle Arena'
'Heroes of Newerth',2010,2918706.56,1552890.01,813,371,'Multiplayer Online Battle Arena'
'Heroes of the Storm',2015,18280006.65,14196415.95,1271,478,'Multiplayer Online Battle Arena'
'League of Legends',2009,90041272.98,79598951.3,8018,2665,'Multiplayer Online Battle Arena'
'League of Legends: Wild Rift',2021,1024288,679288,178,4,'Multiplayer Online Battle Arena'
Minecraft,2011,429539.15,10000,84,20,'Multiplayer Online Battle Arena'
'Mobile Legends: Bang Bang',2016,1316000,1316000,124,3,'Multiplayer Online Battle Arena'
SMITE,2014,9250112.75,7872832.57,545,97,'Multiplayer Online Battle Arena'
Vainglory,2014,797421.19,696825.87,247,35,'Multiplayer Online Battle Arena'
'Acceleration of SUGURI 2',2018,410,210,8,3,'Fighting Game'
'Aquapazza: Aquaplus Dream Match',2011,245,245,5,2,'Fighting Game'
'Arcana Heart 3',2009,1000,1000,4,1,'Fighting Game'
